All Time Rank,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,AirPlay Spins,Deezer Playlist Reach,Pandora Streams,Pandora Track Stations,Shazam Counts,Spotify Streams is NaN,Spotify Playlist Count is NaN,Spotify Playlist Reach is NaN,YouTube Views is NaN,YouTube Likes is NaN,TikTok Posts is NaN,TikTok Likes is NaN,TikTok Views is NaN,YouTube Playlist Reach is NaN,AirPlay Spins is NaN,Deezer Playlist Reach is NaN,Pandora Streams is NaN,Pandora Track Stations is NaN,Shazam Counts is NaN,Track Score,Spotify Popularity,Apple Music Playlist Count,Deezer Playlist Count,Amazon Playlist Count,Spotify Popularity is NaN,Apple Music Playlist Count is NaN,Deezer Playlist Count is NaN,Amazon Playlist Count is NaN
1421,349522530.0,23359.0,14819855.0,146063277.0,734128.0,8095.0,9061160.0,55484022.0,242792313.0,1264.0,1485972.0,8057504.0,3441.0,389913.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.1,76.0,19.0,8.0,8.0,0,0,0,0
1420,79871904.0,18919.0,14210017.0,29393085.0,165299.0,262.0,2695609.0,12375164.0,77039026.0,1844.0,58761.0,11360858.0,10860.0,289309.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.1,63.50158061116965,15.0,12.0,17.0,1,0,0,0
1423,817199682.0,92013.0,18868123.0,741912041.0,6429361.0,260300.0,72202454.0,555577986.0,16786223.0,13012.0,362333.0,75776057.0,27755.0,1368659.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.1,70.0,50.0,26.0,24.0,0,0,0,0
1427,1332154389.0,155866.0,27988875.0,731296296.0,9138105.0,472428.0,26348380.0,176473936.0,150565249.0,286.0,229786.0,331251079.0,299963.0,6612245.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,67.0,114.0,32.0,21.0,0,0,0,0
1424,942637026.0,146801.0,30163694.0,335729967.0,2785787.0,93883.0,65547896.0,663247978.0,103976790.0,6999.0,380791.0,21963852.0,20198.0,5916135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,75.0,77.0,25.0,12.0,0,0,0,0
1426,78096380.0,7999.0,76558923.0,7982763.0,75106.0,944307.6200758681,112637464.57127072,1161157789.8336556,132719358.0,67820.0,26160126.0,8273.0,28.0,886709.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,39.0,63.50158061116965,56.0,62.0,44.0,1,0,0,0
1425,114947522.0,20245.0,36960349.0,16861339.0,252500.0,944307.6200758681,112637464.57127072,1161157789.8336556,173158285.0,22363.0,4484645.0,8366917.0,8436.0,713489.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,39.0,63.50158061116965,24.0,20.0,54.0,1,0,0,0
1428,78537688.0,7391.0,23509446.0,15545498.0,390430.0,944307.6200758681,112637464.57127072,1161157789.8336556,178030387.0,5626.0,2216295.0,365178.0,596.0,361969.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,38.9,63.50158061116965,56.0,20.0,18.0,1,0,0,0
1432,1503269550.0,135666.0,65498300.0,377475040.0,3036719.0,150455.0,11239779.0,92310567.0,229524109.0,266988.0,371956.0,337132853.0,193321.0,8500939.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9,72.0,207.0,188.0,91.0,0,0,0,0
1435,40447209.0,4358.0,14370644.0,20161600.0,421776.0,944307.6200758681,215200.0,4614000.0,330815319.0,44782.0,6620644.0,947387.0,232.0,366242.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38.9,63.50158061116965,54.0,60.0,13.0,1,0,0,0
